company_id,move_id,move_type,name,ref,payment_reference,src_state,aeat_send_error
1,8531,in_invoice,S/FRA/2022/0891,FV21331,FV21331: FV21331,sent,""
1,8532,in_invoice,S/FRA/2022/0837,221122,"",sent,""
1,8533,in_invoice,S/FRA/2022/0836,35/2022,"",sent,""
1,8535,in_invoice,S/FRA/2022/0835,15,"",sent,""
1,8870,in_invoice,S/FRA/2022/0833,4546,"",sent,""
1,8871,in_invoice,S/FRA/2022/0832,P22/0000083,"",sent,""
1,8872,in_invoice,S/FRA/2022/0941,2022-459,"",sent,""
1,8873,in_invoice,S/FRA/2022/0831,A2207831,"",sent,""
1,8874,in_invoice,S/FRA/2022/0830,A2204246,"",sent,""
1,8875,in_invoice,S/FRA/2022/0829,A2206284,"",sent,""
1,8876,in_invoice,S/FRA/2022/0828,11/23,"",sent,""
1,8878,in_invoice,S/FRA/2022/0826,AF/1683/01,"",sent,""
1,8879,in_invoice,S/FRA/2022/0827,AF/1684/01,"",sent,""
1,8880,in_invoice,S/FRA/2022/0847,FA 221838,"",sent,""
1,8881,in_invoice,S/FRA/2022/0878,FRO20222177901,"",sent,""
1,8882,in_invoice,S/FRA/2022/0858,FRO20221961661,"",sent,""
1,8888,in_invoice,S/FRA/2022/0894,P22/0000093,"",sent,""
1,8889,in_invoice,S/FRA/2022/0857,FA 222066,"",sent,""
1,8891,in_invoice,S/FRA/2022/0898,05/2022,"",sent,""
1,8892,in_invoice,S/FRA/2022/0860,FD22-53238,"",sent,""
1,8893,in_invoice,S/FRA/2022/0861,FD22-53415,"",sent,""
1,8894,in_invoice,S/FRA/2022/0863,FD22-55034,"",sent,""
1,8895,in_invoice,S/FRA/2022/0875,FD22-58651,"",sent,""
1,8896,in_invoice,S/FRA/2022/0899,16,"",sent,""
1,8897,in_invoice,S/FRA/2022/0869,9/2022,"",sent,""
1,23502,in_invoice,S/FRA/2025/0194,000D008112,"",sent,""
1,22407,in_invoice,S/FRA/2024/1063,187-24,"",sent,""
1,8910,in_invoice,S/FRA/2022/0893,022251,"",sent,""
1,8913,in_invoice,S/FRA/2022/0871,7/2022,"",sent,""
1,8914,in_invoice,S/FRA/2022/0870,8/2022,"",sent,""
1,8931,in_invoice,S/FRA/2022/0852,00005142,"",sent,""
1,8932,in_invoice,S/FRA/2022/0850,VF22-09-0084,"",sent,""
1,8933,in_invoice,S/FRA/2022/0895,VF22-11-0089,"",sent,""
1,8935,in_invoice,S/FRA/2022/0842,L220084530,"",sent,""
1,8936,in_invoice,S/FRA/2022/0845,G220085405,"",sent,""
1,8937,in_invoice,S/FRA/2022/0853,S220072610,"",sent,""
1,8938,in_invoice,S/FRA/2022/0866,O220047776,"",sent,""
1,8939,in_invoice,S/FRA/2022/0900,312-KF22-15757,"",sent,""
1,8940,in_invoice,S/FRA/2022/0864,312-KF22-14282,"",sent,""
1,8941,in_invoice,S/FRA/2022/0851,312-KF22-12882,"",sent,""
1,8942,in_invoice,S/FRA/2022/0844,312-KF22-11338,"",sent,""
1,8943,in_invoice,S/FRA/2022/0843,A10017252682-0822,"",sent,""
1,8944,in_invoice,S/FRA/2022/0849,A10017331075-0922,"",sent,""
1,8945,in_invoice,S/FRA/2022/0862,A10017409871-1022,"",sent,""
1,8946,in_invoice,S/FRA/2022/0896,A10017487940-1122,"",sent,""
1,8947,in_invoice,S/FRA/2022/0897,A10017449361-1122,"",sent,""
1,8953,in_invoice,S/FRA/2022/0889,187/2022,"",sent,""
1,9021,in_invoice,S/FRA/2022/0908,11/2022,"",sent,""
1,9028,in_invoice,S/FRA/2022/0907,2022/000001,"",sent,""
1,9030,in_invoice,S/FRA/2022/0906,22/21,"",sent,""
1,9031,in_invoice,S/FRA/2022/0905,C11-2022,"",sent,""
1,9032,in_invoice,S/FRA/2022/0938,G 176-22,"",sent,""
1,9033,in_invoice,S/FRA/2022/0904,2022_08,"",sent,""
1,9034,in_invoice,S/FRA/2022/0937,22000859,"",sent,""
