id,company_id,move_type,name,ref,src_state,aeat_send_error
24776,1,in_invoice,S/FRA/2025/0393,2/2025,sent,"{
    'CSV': 'H8SW5NDE2JDA9PLF',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24777,1,in_invoice,S/FRA/2025/0392,3/2025,sent,"{
    'CSV': 'L9NFK94UXUBZRPMP',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24779,1,in_invoice,S/FRA/2025/0391,11/2025,sent,"{
    'CSV': 'PQ8EDTQYJQTANLEQ',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24781,1,in_invoice,S/FRA/2025/0390,250121,sent,"{
    'CSV': 'BYR9CEWB47E96RNS',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24624,1,in_invoice,S/FRA/2025/0389,FM25-1401,sent,"{
    'CSV': 'U4CSSJY2Y32SENQS',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24640,1,in_invoice,S/FRA/2025/0388,FV22263,sent,"{
    'CSV': '3L7WS3BRKUV8ACVQ',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24641,1,in_invoice,S/FRA/2025/0387,FN-25-01728,sent,"{
    'CSV': '5XDGFH79K9RZJGQY',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24642,1,in_invoice,S/FRA/2025/0386,A2503867,sent,"{
    'CSV': 'ESJGSL77STKYSERK',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24643,1,in_invoice,S/FRA/2025/0385,000D009282,sent,"{
    'CSV': '7CMNR3LLA45S338U',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24644,1,in_invoice,S/FRA/2025/0384,000D009283,sent,"{
    'CSV': 'RKGAAVZQ7FZXWEKD',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24645,1,in_invoice,S/FRA/2025/0383,000G009351,sent,"{
    'CSV': '2DSEP5M2FZANR5UY',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24646,1,in_invoice,S/FRA/2025/0382,000G009352,sent,"{
    'CSV': 'AL27F8KBT76VF5DU',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24647,1,in_invoice,S/FRA/2025/0381,AL 25000559,sent,"{
    'CSV': 'JTTDGPX6WYLJMPEY',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24648,1,in_invoice,S/FRA/2025/0380,AL 25000330,sent,"{
    'CSV': 'QJ9CBU85ERZRZY8W',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24649,1,in_invoice,S/FRA/2025/0379,AL 25000372,sent,"{
    'CSV': 'BQCL6DVYN8G4KWD3',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24650,1,in_invoice,S/FRA/2025/0378,25/13,sent,"{
    'CSV': 'AFSEZ7FAGRBP638C',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24652,1,in_invoice,S/FRA/2025/0377,3437954,sent,"{
    'CSV': 'LXJ7WKVD5ECA8U3L',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24757,1,in_invoice,S/FRA/2025/0376,2025-22,sent,"{
    'CSV': 'TX4T2WTHB8LXKYJ2',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24678,1,in_invoice,S/FRA/2025/0375,2645,sent,"{
    'CSV': '4S8YL8VYGX56Q49Q',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24243,1,in_invoice,S/FRA/2025/0368,0960470063159,sent,"{
    'CSV': 'XK9FSSQF8YAZUCE9',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24419,1,in_invoice,S/FRA/2025/0366,33500000/33503551,sent,"{
    'CSV': 'WMMMQMTTPVXRUQEH',
    'DatosPresentacion': {
        'NIFPresentador': 'G33465790',
        'TimestampPre"
24601,1,in_invoice,S/FRA/2025/0374,1TSN250600378888,sent,"{
    'CSV': 'TUQEUG4PWP6B26CF',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24602,1,in_invoice,S/FRA/2025/0373,25/241,sent,"{
    'CSV': '9L7BPWPJYSXHG484',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24541,1,in_invoice,S/FRA/2025/0372,21250527010372431,sent,"{
    'CSV': 'L7RK4WW33KSFS5RB',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24570,1,in_invoice,S/FRA/2025/0371,23-2025,sent,"{
    'CSV': '67B3GHBMPCTHUBGC',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24603,1,in_invoice,S/FRA/2025/0370,A-1024,sent,"{
    'CSV': '28FYHRGC4RWZK4NJ',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
24538,1,in_invoice,S/FRA/2025/0369,025.041,sent,"{
    'CSV': 'FU7ZU9Q8BHF39Y9M',
    'DatosPresentacion': {
        'NIFPresentador': 'B74125311',
        'TimestampPre"
