move_id,name,ref,payment_reference,company_id,sii_state,src_state,aeat_send_error
3894,T/2022/0002,T2,T/2022/0002,1,sent,sent,
3895,T/2022/0003,T3,T/2022/0003,1,sent,sent,
11360,A/2023/0002,A02 a B002,A/2023/0002,1,not_sent,not_sent,
3928,J/2022/0005,J5,J/2022/0005,1,sent,sent,
23133,A/2025/0002,,A/2025/0002,1,not_sent,not_sent,
4099,T/2022/0004,T4,T/2022/0004,1,sent,sent,
8886,A/2022/0012,A12 A B012,A/2022/0012,1,not_sent,not_sent,
4273,A/2022/0001,A01 a B001,A/2022/0001,1,not_sent,not_sent,
4274,A/2022/0002,A02 a B002,A/2022/0002,1,not_sent,not_sent,
8890,A/2022/0014,A14 A B014,A/2022/0014,1,not_sent,not_sent,
4275,A/2022/0003,A03 A B003,A/2022/0003,1,not_sent,not_sent,
11684,T/2023/0007,T7,T/2023/0007,1,sent,sent,
9122,A/2022/0016,A16 A B016,A/2022/0016,1,not_sent,not_sent,
9121,A/2022/0015,A15 A B015,A/2022/0015,1,not_sent,not_sent,
9124,A/2022/0018,A18 A B018,A/2022/0018,1,not_sent,not_sent,
6419,A/2022/0006,A06 A B006,A/2022/0006,1,not_sent,not_sent,
6420,A/2022/0007,A07 A B007,A/2022/0007,1,not_sent,not_sent,
9218,A/2022/0021,A21 A B021,A/2022/0021,1,not_sent,not_sent,
6521,T/2022/0005,T5,T/2022/0005,1,sent,sent,
6654,T/2022/0006,T6,T/2022/0006,1,sent,sent,
6676,T/2022/0007,T7,T/2022/0007,1,sent,sent,
6418,A/2022/0005,A05 A B005,A/2022/0005,1,not_sent,not_sent,
809,J/2021/0014,J14,J/2021/0014,1,sent,sent,
6677,T/2022/0008,T8,T/2022/0008,1,sent,sent,
6733,T/2022/0009,T9,T/2022/0009,1,sent,sent,
6735,J/2022/0006,J6,J/2022/0006,1,sent,sent,
6736,J/2022/0007,J7,J/2022/0007,1,sent,sent,
6750,J/2022/0008,J8,J/2022/0008,1,sent,sent,
6751,T/2022/0010,T10,T/2022/0010,1,sent,sent,
6845,T/2022/0011,T11,T/2022/0011,1,sent,sent,
6846,T/2022/0012,T12,T/2022/0012,1,sent,sent,
13258,C/2023/0011,,C/2023/0011,1,sent,sent,
7689,C/2022/0004,C4,C/2022/0004,1,sent,sent,
7726,C/2022/0006,C6,C/2022/0006,1,sent,sent,
7731,J/2022/0010,J10,J/2022/0010,1,sent,sent,
7732,J/2022/0011,J11,J/2022/0011,1,sent,sent,
7729,J/2022/0009,J9,J/2022/0009,1,sent,sent,
7746,J/2022/0015,J15,J/2022/0015,1,sent,sent,
7772,J/2022/0016,J16,J/2022/0016,1,sent,sent,
7782,J/2022/0017,J17,J/2022/0017,1,sent,sent,
8252,T/2022/0013,T13,T/2022/0013,1,sent,sent,
13330,J/2023/0016,,J/2023/0016,1,sent,sent,
13253,T/2023/0010,,T/2023/0010,1,sent,sent,
8292,J/2022/0019,J19,J/2022/0019,1,sent,sent,
8305,J/2022/0020,J20,J/2022/0020,1,sent,sent,
8489,T/2022/0014,T14,T/2022/0014,1,sent,sent,
8877,J/2022/0021,J21,J/2022/0021,1,sent,sent,
8887,A/2022/0013,A13 A B013,A/2022/0013,1,not_sent,not_sent,
8930,T/2022/0015,T15,T/2022/0015,1,sent,sent,
8955,J/2022/0023,J23,J/2022/0023,1,sent,sent,
9015,J/2022/0024,J24,J/2022/0024,1,sent,sent,
9016,J/2022/0025,J25,J/2022/0025,1,sent,sent,
802,J/2021/0010,J10,J/2021/0009,1,not_sent,not_sent,
13331,C/2023/0012,,C/2023/0012,1,sent,sent,
11362,A/2023/0004,A04 A B004,A/2023/0004,1,not_sent,not_sent,
11363,A/2023/0005,A05 A B005,A/2023/0005,1,not_sent,not_sent,
11361,A/2023/0003,A03 A B003,A/2023/0003,1,not_sent,not_sent,
9140,T/2022/0016,T16,T/2022/0016,1,sent,sent,
796,A/2021/0023,A07 A B007,A/2021/0007,1,not_sent,not_sent,
803,J/2021/0011,J11,J/2021/0010,1,not_sent,not_sent,
11359,A/2023/0001,A01 a B001,A/2023/0001,1,not_sent,not_sent,
8241,A/2022/0010,A10 A B010,A/2022/0010,1,not_sent,not_sent,
8249,J/2022/0018,J18,J/2022/0018,1,sent,sent,
9168,J/2022/0027,J27,J/2022/0027,1,sent,sent,
9175,J/2022/0028,J28,J/2022/0028,1,sent,sent,
9219,A/2022/0022,A22 A B022,A/2022/0022,1,not_sent,not_sent,
9224,J/2023/0001,J1,J/2023/0001,1,sent,sent,
12312,C/2023/0007,,C/2023/0007,1,sent,sent,
9262,T/2023/0001,T1,T/2022/0017,1,sent,sent,
9505,J/2023/0002,J2,J/2023/0002,1,sent,sent,
11680,T/2023/0006,T6,T/2023/0006,1,sent,sent,
11593,C/2023/0004,C4,C/2023/0004,1,sent,sent,
16062,J/2024/0001,,J/2024/0001,1,sent,sent,
16189,J/2024/0002,,J/2024/0002,1,sent,sent,
16238,J/2024/0003,,J/2024/0003,1,sent,sent,
16408,J/2024/0006,,J/2024/0006,1,sent,sent,
19490,C/2024/0008,,C/2024/0008,1,sent,sent,
11370,C/2023/0002,C2,C/2023/0002,1,sent,sent,
11269,J/2023/0005,J5,J/2023/0005,1,sent,sent,
17340,J/2024/0009,,J/2024/0009,1,sent,sent,
12321,C/2023/0008,,C/2023/0008,1,sent,sent,
13852,A/2023/0008,,A/2023/0008,1,not_sent,not_sent,"1329 | Cuando el tipo de factura es F2, la suma de las bases imponi"
14617,A/2023/0011,,A/2023/0011,1,not_sent,not_sent,"1329 | Cuando el tipo de factura es F2, la suma de las bases imponi"
19600,J/2024/0029,,J/2024/0029,1,sent,sent,
7735,J/2022/0014,J14,J/2022/0014,1,sent,sent,
14620,A/2023/0013,,A/3111/0004,1,not_sent,not_sent,
16084,A/2023/0021,,A/3111/0012,1,not_sent,not_sent,
15206,A/2023/0014,,A/3111/0005,1,not_sent,not_sent,"1329 | Cuando el tipo de factura es F2, la suma de las bases imponi"
19939,J/2024/0031,,J/2024/0031,1,sent,sent,
2847,J/2021/0017,J17,J/2021/0017,1,sent,sent,
12364,J/2023/0010,,J/2023/0010,1,sent,sent,
14997,J/2023/0026,,J/2023/0026,1,sent,sent,
16083,A/2023/0020,,A/3111/0011,1,not_sent,not_sent,
23834,C/2025/0005,,C/2025/0005,1,sent,sent,
19938,C/2024/0012,,C/2024/0012,1,sent,sent,
18199,J/2024/0010,,J/2024/0010,1,sent,sent,
15208,A/2023/0016,,A/3111/0007,1,not_sent,not_sent,
16081,A/2023/0018,,A/3111/0009,1,not_sent,not_sent,
19199,J/2024/0016,,J/2024/0016,1,sent,sent,
7703,C/2022/0005,C5,C/2022/0005,1,sent,sent,
22044,J/2025/0003,,J/2025/0003,1,sent,sent,
22043,J/2025/0002,,J/2025/0002,1,sent,sent,
22042,J/2025/0001,,J/2025/0001,1,sent,sent,
22758,C/2025/0002,,C/2025/0002,1,sent,sent,
21889,C/2024/0017,,C/2024/0017,1,sent,sent,
20932,T/2024/0007,,T/2024/0007,1,sent,sent,
24225,J/2025/0016,,J/2025/0016,1,sent,sent,
11683,J/2023/0007,J7,J/2023/0007,1,sent,sent,
14547,C/2023/0015,,C/2023/0015,1,sent,sent,
20626,C/2024/0016,,C/2024/0016,1,sent,sent,
21034,J/2024/0037,,J/2024/0037,1,sent,sent,
24000,T/2025/0004,,T/2025/0004,1,sent,sent,
20931,T/2024/0006,,T/2024/0006,1,sent,sent,
24214,J/2025/0014,,J/2025/0014,1,sent,sent,
23791,J/2025/0013,,J/2025/0013,1,sent,sent,
13613,J/2023/0017,,J/2023/0017,1,sent,sent,
24224,J/2025/0015,,J/2025/0015,1,sent,sent,
23835,T/2025/0002,,T/2025/0002,1,sent,sent,
